Employee_ID,Department,Gender,Age,Job_Title,Hire_Date,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Projects_Handled,Overtime_Hours,Sick_Days,Remote_Work_Frequency,Team_Size,Training_Hours,Promotions,Employee_Satisfaction_Score,Resigned,Attendance_Score,Merit_Score
153,Marketing,Female,54,Technician,2014-09-22 08:03:05.556036,9,High School,5,5250.0,37,49,22,14,100,6,21,2,4.44,False,0,0.6144242424242424
155,Legal,Male,51,Engineer,2015-06-22 08:03:05.556036,9,Bachelor,3,7800.0,53,49,17,1,75,3,30,2,3.78,False,13,0.6853203463203463
167,Sales,Male,36,Manager,2018-06-04 08:03:05.556036,6,High School,4,8400.0,51,44,1,6,50,12,78,1,1.14,False,8,0.6084533085961658
170,Legal,Female,34,Technician,2019-10-22 08:03:05.556036,4,High School,5,5250.0,50,22,26,2,25,5,49,2,2.59,False,12,0.6397143887858173
171,Engineering,Male,23,Manager,2023-04-09 08:03:05.556036,1,Bachelor,3,7800.0,57,49,9,11,50,13,52,2,4.72,False,3,0.6339076479076479
175,Customer Support,Female,30,Analyst,2024-05-05 08:03:05.556036,0,Bachelor,2,4800.0,56,48,21,1,100,2,42,2,3.85,False,13,0.6589811379097094
186,HR,Female,57,Manager,2023-07-27 08:03:05.556036,1,Bachelor,4,8400.0,35,37,7,10,100,5,59,2,4.38,False,4,0.6463551844980415
206,Marketing,Male,50,Engineer,2023-08-29 08:03:05.556036,1,Bachelor,2,7200.0,44,10,21,0,0,5,88,2,4.9,True,14,0.66359410430839
209,Engineering,Male,43,Developer,2015-11-21 08:03:05.556036,8,High School,3,6500.0,55,49,24,8,50,15,75,2,2.96,False,6,0.6352294372294371
214,Legal,Female,32,Specialist,2019-12-19 08:03:05.556036,4,Master,5,6750.0,49,5,11,6,75,17,99,1,2.42,False,8,0.6056938775510203
219,Engineering,Male,23,Engineer,2019-11-18 08:03:05.556036,4,Bachelor,5,9000.0,55,12,5,11,0,1,95,1,4.14,False,3,0.6407559266130696
220,Customer Support,Male,52,Engineer,2015-11-13 08:03:05.556036,8,Bachelor,4,8400.0,35,0,27,6,50,7,82,1,4.97,False,8,0.62844227994228
226,Sales,Female,44,Manager,2014-12-31 08:03:05.556036,9,PhD,5,9000.0,53,0,11,7,25,13,65,2,4.9,False,7,0.6263131313131314
232,Customer Support,Female,27,Analyst,2022-06-10 08:03:05.556036,2,High School,3,5200.0,56,34,28,3,25,2,80,1,2.06,False,11,0.6105345289631005
239,Operations,Female,42,Consultant,2016-07-07 08:03:05.556036,8,High School,4,7700.0,53,17,18,1,50,16,55,1,4.65,False,13,0.6987131519274377
240,Finance,Female,27,Manager,2022-10-09 08:03:05.556036,1,High School,4,8400.0,56,27,19,4,75,8,90,2,1.53,False,10,0.6113794063079777
245,HR,Female,45,Manager,2020-05-28 08:03:05.556036,4,Bachelor,5,9000.0,48,9,7,1,100,3,65,1,4.79,False,13,0.7432621109049681
246,IT,Female,32,Specialist,2021-12-25 08:03:05.556036,2,Bachelor,4,6300.0,55,46,26,11,0,9,87,2,4.82,False,3,0.7473698206555349
248,HR,Female,43,Analyst,2021-05-12 08:03:05.556036,3,Bachelor,2,4800.0,57,36,5,4,100,19,37,1,4.81,False,10,0.6050433931148216
259,Sales,Male,26,Technician,2016-01-09 08:03:05.556036,8,Bachelor,5,5250.0,46,39,25,2,100,16,57,1,3.98,False,12,0.7947637600494744
276,Marketing,Male,56,Consultant,2023-01-08 08:03:05.556036,1,Bachelor,4,7700.0,59,19,25,5,25,14,53,2,4.9,False,9,0.6581931560502989
283,Customer Support,Male,36,Engineer,2023-05-01 08:03:05.556036,1,Bachelor,3,7800.0,55,10,23,0,100,7,45,2,4.79,False,14,0.6212254174397032
284,IT,Female,41,Technician,2018-06-18 08:03:05.556036,6,High School,4,4900.0,53,45,24,1,50,19,75,2,3.91,False,13,0.8164029066171924
285,Marketing,Female,38,Manager,2021-08-28 08:03:05.556036,3,High School,3,7800.0,40,49,29,2,25,14,66,2,4.85,False,12,0.7972619047619048
289,Operations,Female,58,Manager,2015-11-01 08:03:05.556036,8,Master,5,9000.0,32,30,27,8,25,5,94,2,1.96,False,6,0.6460622552051122
291,Engineering,Male,40,Consultant,2016-03-09 08:03:05.556036,8,High School,4,7700.0,51,44,23,5,25,19,88,2,3.49,False,9,0.7604410430839003
297,Operations,Female,36,Consultant,2020-03-07 08:03:05.556036,4,Master,4,7700.0,34,39,8,4,0,11,35,1,3.34,True,10,0.6397478870336013
299,Engineering,Other,22,Engineer,2017-02-27 08:03:05.556036,7,Bachelor,2,7200.0,51,40,6,14,50,16,92,1,5.0,False,0,0.5991238919810349
302,Customer Support,Female,23,Developer,2018-08-13 08:03:05.556036,6,Master,5,7500.0,55,36,17,9,75,10,62,1,3.37,False,5,0.6621198721913008
327,Finance,Female,46,Consultant,2016-06-14 08:03:05.556036,8,Bachelor,4,7700.0,57,21,11,8,25,18,65,2,3.89,False,6,0.5972417027417027
332,HR,Female,50,Technician,2019-04-12 08:03:05.556036,5,High School,4,4900.0,39,46,0,7,75,6,3,1,4.09,False,7,0.5983157081014223
333,Operations,Female,31,Engineer,2022-02-10 08:03:05.556036,2,High School,4,8400.0,34,46,1,9,100,11,68,1,3.28,False,5,0.6605574108431251
335,Finance,Female,33,Consultant,2022-09-30 08:03:05.556036,1,High School,5,8250.0,51,2,4,1,75,15,86,1,2.71,False,13,0.6531149247577819
343,Finance,Female,29,Manager,2021-04-01 08:03:05.556036,3,Master,5,9000.0,50,39,11,1,25,16,6,1,3.11,False,13,0.6625191713048855
347,HR,Female,54,Analyst,2019-04-05 08:03:05.556036,5,Bachelor,3,5200.0,50,15,9,3,100,4,97,2,3.72,False,11,0.6503269428983715
349,Sales,Male,31,Technician,2017-06-08 08:03:05.556036,7,Bachelor,4,4900.0,56,19,15,0,0,15,81,1,2.53,False,14,0.6676873840445269
351,IT,Female,26,Developer,2020-09-11 08:03:05.556036,3,Bachelor,4,7000.0,55,44,23,3,50,6,89,2,3.08,False,11,0.7705326736755308
363,IT,Female,30,Specialist,2022-01-20 08:03:05.556036,2,Master,5,6750.0,45,6,13,0,75,12,92,2,1.82,False,14,0.6513483817769532
365,Legal,Male,40,Technician,2022-01-12 08:03:05.556036,2,High School,3,4550.0,32,3,24,2,75,7,98,1,3.42,True,12,0.6026532673675531
372,Customer Support,Male,50,Specialist,2017-10-10 08:03:05.556036,6,Bachelor,5,6750.0,47,49,12,1,0,3,27,1,2.69,False,13,0.7247597402597402
381,Operations,Female,26,Technician,2014-12-25 08:03:05.556036,9,High School,3,4550.0,33,40,25,1,0,14,43,2,3.79,False,13,0.6753482787054216
389,Finance,Female,60,Technician,2020-01-07 08:03:05.556036,4,High School,4,4900.0,50,6,10,7,75,2,95,1,4.48,True,7,0.6404089878375594
405,Customer Support,Female,27,Consultant,2018-03-22 08:03:05.556036,6,High School,5,8250.0,44,2,7,1,25,2,66,1,4.95,False,13,0.7247108843537415
411,Engineering,Male,50,Engineer,2021-02-20 08:03:05.556036,3,Bachelor,5,9000.0,44,16,19,6,0,6,88,2,2.34,False,8,0.6243696145124715
414,Engineering,Male,29,Analyst,2018-05-05 08:03:05.556036,6,High School,4,5600.0,41,5,23,2,25,5,47,2,4.79,False,12,0.6262862296433725
415,Customer Support,Other,33,Technician,2021-12-29 08:03:05.556036,2,Bachelor,5,5250.0,44,36,19,10,0,1,97,2,2.04,False,4,0.6520412286126571
422,Marketing,Male,52,Technician,2017-09-19 08:03:05.556036,6,Master,3,4550.0,55,26,16,3,0,6,43,1,4.59,False,11,0.6296339929911359
435,Operations,Male,45,Specialist,2019-01-29 08:03:05.556036,5,Master,3,5850.0,54,35,2,5,75,17,75,2,4.35,False,9,0.6904437229437229
444,HR,Male,30,Analyst,2020-11-01 08:03:05.556036,3,Master,4,5600.0,58,36,17,0,0,9,7,2,4.33,False,14,0.6775801896516183
446,Sales,Other,56,Specialist,2020-02-06 08:03:05.556036,4,High School,4,6300.0,36,47,11,4,25,18,88,1,1.66,False,10,0.6954716553287982
447,Marketing,Female,23,Consultant,2021-04-03 08:03:05.556036,3,High School,4,7700.0,43,40,12,5,25,3,37,1,2.83,False,9,0.6080842094413523
455,IT,Male,33,Developer,2019-08-10 08:03:05.556036,5,Bachelor,4,7000.0,45,21,28,1,75,5,68,1,3.47,False,13,0.6823023088023088
458,Engineering,Female,52,Consultant,2020-10-01 08:03:05.556036,3,Bachelor,4,7700.0,55,46,9,4,75,17,40,1,4.05,False,10,0.71392032570604
459,Sales,Male,39,Consultant,2017-03-16 08:03:05.556036,7,Master,4,7700.0,31,23,27,6,50,11,60,2,3.6,True,8,0.6093753865182436
463,IT,Male,26,Manager,2014-11-23 08:03:05.556036,9,High School,4,8400.0,48,31,3,7,75,5,62,1,3.06,False,7,0.6047831374974233
467,Sales,Male,50,Specialist,2016-09-01 08:03:05.556036,8,Bachelor,5,6750.0,32,48,28,13,25,4,99,2,3.18,False,1,0.7192040816326531
470,Operations,Male,36,Analyst,2018-01-26 08:03:05.556036,6,High School,5,6000.0,43,26,23,5,50,13,48,1,2.42,False,9,0.6026635745207173
475,Engineering,Female,29,Consultant,2018-08-03 08:03:05.556036,6,High School,4,7700.0,44,23,22,0,0,16,6,1,4.56,False,14,0.6339987631416202
480,IT,Male,37,Consultant,2018-01-03 08:03:05.556036,6,High School,5,8250.0,31,35,0,0,75,3,42,2,4.28,False,14,0.7917056277056277
485,Operations,Male,37,Specialist,2018-01-12 08:03:05.556036,6,Bachelor,5,6750.0,39,37,22,9,50,14,8,1,4.83,False,5,0.6301105957534529
494,Marketing,Other,48,Specialist,2017-12-10 08:03:05.556036,6,Master,4,6300.0,40,17,3,10,25,10,88,1,4.92,False,4,0.6503083900226757
496,Finance,Female,50,Developer,2024-08-29 08:03:05.556036,0,PhD,4,7000.0,31,40,23,10,50,3,69,2,4.31,False,4,0.6753021026592455
499,Operations,Female,27,Specialist,2019-03-10 08:03:05.556036,5,High School,3,5850.0,46,47,0,8,0,11,62,1,3.88,False,6,0.6468035456606884
511,HR,Female,50,Consultant,2016-04-23 08:03:05.556036,8,High School,5,8250.0,38,37,2,0,0,14,15,2,3.04,False,14,0.6833234384662956
523,Engineering,Female,49,Consultant,2016-04-10 08:03:05.556036,8,High School,5,8250.0,49,4,4,3,75,1,81,2,4.12,False,11,0.6931057513914658
537,Marketing,Female,46,Technician,2018-03-08 08:03:05.556036,6,Bachelor,2,4200.0,45,37,29,5,75,3,89,1,4.06,False,9,0.6623898165326736
574,Finance,Female,35,Analyst,2021-10-08 08:03:05.556036,2,Bachelor,4,5600.0,40,0,20,5,100,13,92,1,3.97,False,9,0.6129300144300145
585,Sales,Female,59,Specialist,2018-03-10 08:03:05.556036,6,Bachelor,3,5850.0,40,47,4,4,100,15,71,1,2.92,False,10,0.6741282209853637
591,Engineering,Male,27,Consultant,2022-06-22 08:03:05.556036,2,High School,1,6050.0,51,28,7,3,50,8,90,1,4.35,False,11,0.6207467532467532
602,IT,Male,27,Developer,2023-12-30 08:03:05.556036,0,Master,5,7500.0,30,16,5,1,0,3,95,2,4.72,False,13,0.8289396000824573
612,HR,Male,42,Technician,2022-10-09 08:03:05.556036,1,Bachelor,5,5250.0,52,46,14,9,100,1,46,1,2.98,True,5,0.6511129663986808
613,Operations,Male,56,Developer,2020-07-19 08:03:05.556036,4,PhD,3,6500.0,55,32,17,11,25,9,95,2,4.34,False,3,0.632388579674294
629,Finance,Female,35,Manager,2022-06-09 08:03:05.556036,2,Bachelor,5,9000.0,43,41,22,10,100,15,87,1,3.73,True,4,0.7367473716759431
630,Sales,Female,35,Engineer,2017-09-11 08:03:05.556036,6,High School,3,7800.0,31,35,21,3,50,15,97,2,4.86,False,11,0.788959595959596
633,IT,Female,35,Technician,2018-05-08 08:03:05.556036,6,Bachelor,3,4550.0,37,30,3,6,50,15,73,1,3.84,False,8,0.6262094413522984
638,Sales,Male,42,Specialist,2017-02-10 08:03:05.556036,7,Bachelor,2,5400.0,53,38,25,8,50,14,70,1,4.47,False,6,0.6057304679447537
639,Sales,Female,29,Consultant,2024-07-20 08:03:05.556036,0,High School,5,8250.0,44,35,26,4,0,13,88,2,2.44,False,10,0.7354920634920634
651,Legal,Female,29,Developer,2015-12-10 08:03:05.556036,8,Master,3,6500.0,57,43,23,0,100,2,99,2,3.23,False,14,0.7870102040816327
655,HR,Male,27,Analyst,2015-12-04 08:03:05.556036,8,High School,5,6000.0,31,27,7,8,100,7,81,2,4.24,False,6,0.7215547309833024
660,Customer Support,Female,55,Engineer,2020-05-07 08:03:05.556036,4,Bachelor,4,8400.0,46,41,4,7,100,11,23,2,4.84,False,7,0.6558115852401566
661,Customer Support,Male,43,Consultant,2024-01-07 08:03:05.556036,0,High School,3,7150.0,34,23,3,2,0,9,63,2,4.08,False,12,0.6465788497217069
673,Finance,Female,53,Analyst,2024-05-27 08:03:05.556036,0,Bachelor,5,6000.0,42,0,26,3,100,14,83,2,4.64,False,11,0.7068196248196248
676,Finance,Male,52,Manager,2016-08-07 08:03:05.556036,8,Bachelor,3,7800.0,35,28,27,6,50,17,67,2,4.06,False,8,0.6169249639249639
677,IT,Male,46,Manager,2017-04-01 08:03:05.556036,7,High School,3,7800.0,57,37,6,0,0,11,25,2,3.2,False,14,0.6115254586683158
684,Engineering,Female,45,Developer,2020-08-11 08:03:05.556036,4,Master,4,7000.0,52,42,23,8,25,10,72,1,4.27,False,6,0.7160974025974025
687,HR,Female,52,Technician,2023-01-09 08:03:05.556036,1,Master,4,4900.0,57,14,26,1,25,12,66,1,4.82,False,13,0.7171904761904762
704,Sales,Male,38,Consultant,2023-03-19 08:03:05.556036,1,Bachelor,4,7700.0,36,47,14,14,100,16,55,2,4.77,False,0,0.6414478458049887
707,Customer Support,Male,40,Analyst,2023-06-10 08:03:05.556036,1,High School,4,5600.0,57,48,28,2,50,9,56,2,2.53,False,12,0.7069782519068234
708,Customer Support,Male,55,Engineer,2023-02-14 08:03:05.556036,1,High School,5,9000.0,46,47,17,12,75,19,41,1,3.65,True,2,0.635736446093589
711,Finance,Female,46,Manager,2021-01-22 08:03:05.556036,3,High School,4,8400.0,56,35,0,10,50,14,96,1,2.1,False,4,0.5989393939393939
715,Operations,Female,33,Developer,2016-08-24 08:03:05.556036,8,Bachelor,3,6500.0,31,35,13,2,50,11,53,1,2.62,False,12,0.6023564213564214
716,Operations,Male,49,Consultant,2017-04-05 08:03:05.556036,7,Master,4,7700.0,38,19,3,2,0,15,39,1,4.3,False,12,0.6427674706246135
741,Sales,Female,54,Engineer,2017-12-09 08:03:05.556036,6,High School,5,9000.0,54,47,24,11,100,13,71,1,3.57,False,3,0.7066282209853638
744,IT,Female,51,Analyst,2017-01-31 08:03:05.556036,7,Master,4,5600.0,31,40,5,3,25,10,89,1,2.63,False,11,0.731706143063286
747,HR,Female,60,Manager,2016-07-15 08:03:05.556036,8,Bachelor,5,9000.0,40,37,4,6,75,1,74,2,1.65,False,8,0.6473010719439292
761,Finance,Female,44,Engineer,2023-03-19 08:03:05.556036,1,Master,3,7800.0,37,43,14,0,25,8,2,1,3.74,False,14,0.6165506081220367
762,Customer Support,Male,50,Consultant,2023-12-10 08:03:05.556036,0,Bachelor,5,8250.0,34,44,22,3,75,11,19,2,2.19,False,11,0.6346185322613893
764,Customer Support,Male,44,Technician,2017-06-06 08:03:05.556036,7,Bachelor,5,5250.0,51,12,13,0,25,7,51,2,3.04,False,14,0.6540098948670379
769,Finance,Female,43,Consultant,2021-11-16 08:03:05.556036,2,Bachelor,4,7700.0,54,47,22,6,0,12,42,2,2.51,False,8,0.6164709338280766
770,Engineering,Female,60,Analyst,2021-05-08 08:03:05.556036,3,Bachelor,3,5200.0,42,32,12,5,75,9,68,1,4.4,False,9,0.6665574108431251
777,Engineering,Female,42,Specialist,2024-06-29 08:03:05.556036,0,PhD,2,5400.0,50,48,25,13,100,2,98,1,4.5,False,1,0.633183879612451
778,IT,Female,30,Developer,2015-10-29 08:03:05.556036,8,Bachelor,4,7000.0,33,13,5,1,25,17,84,1,4.55,False,13,0.7359724799010513
789,Operations,Female,39,Engineer,2015-09-05 08:03:05.556036,9,Bachelor,5,9000.0,38,10,4,1,100,15,49,1,2.51,False,13,0.6010205112347969
793,IT,Female,39,Engineer,2017-11-22 08:03:05.556036,6,Bachelor,4,8400.0,48,17,23,3,25,1,80,2,3.65,True,11,0.6706467738610595
803,Marketing,Female,33,Specialist,2023-02-18 08:03:05.556036,1,Bachelor,5,6750.0,59,41,0,6,0,7,81,1,2.9,False,8,0.740269016697588
804,Engineering,Female,45,Consultant,2024-03-06 08:03:05.556036,0,Master,5,8250.0,39,24,17,4,75,14,54,1,3.79,False,10,0.6894072356215213
805,IT,Male,28,Manager,2020-09-22 08:03:05.556036,3,Bachelor,2,7200.0,43,37,24,3,0,9,55,2,4.01,True,11,0.6197743764172335
808,Engineering,Female,44,Engineer,2019-08-14 08:03:05.556036,5,High School,4,8400.0,41,21,7,8,100,9,93,2,3.18,False,6,0.6183073593073594
821,Legal,Male,25,Technician,2023-06-21 08:03:05.556036,1,Bachelor,4,4900.0,33,48,25,5,50,16,70,1,1.74,False,9,0.6529039373325087
822,Sales,Male,32,Developer,2018-07-10 08:03:05.556036,6,Master,5,7500.0,39,4,28,9,100,1,98,1,3.5,False,5,0.6107349000206144
824,Marketing,Female,29,Specialist,2022-12-25 08:03:05.556036,1,Master,2,5400.0,57,38,19,2,100,5,54,1,3.59,False,12,0.615121521335807
843,Customer Support,Female,29,Manager,2017-02-07 08:03:05.556036,7,Bachelor,5,9000.0,60,46,0,3,75,2,7,2,2.17,False,11,0.6175393733250876
848,Legal,Male,40,Engineer,2017-07-11 08:03:05.556036,7,PhD,4,8400.0,50,39,3,6,50,3,81,2,2.56,False,8,0.6651057513914658
850,Marketing,Female,53,Manager,2022-08-20 08:03:05.556036,2,Bachelor,3,7800.0,49,29,24,1,0,10,75,1,4.29,False,13,0.7200967841682127
856,Customer Support,Female,59,Technician,2020-12-29 08:03:05.556036,3,High School,5,5250.0,56,43,5,9,50,17,40,1,4.85,False,5,0.7202468563182849
858,Sales,Female,24,Consultant,2018-12-26 08:03:05.556036,5,High School,3,7150.0,54,21,2,2,100,14,57,2,4.62,False,12,0.6532943722943724
874,Legal,Male,38,Consultant,2020-05-27 08:03:05.556036,4,PhD,4,7700.0,58,44,0,1,0,5,89,1,3.88,False,13,0.8391041022469594
877,Legal,Female,37,Consultant,2014-09-08 08:03:05.556036,9,High School,4,7700.0,32,23,6,10,75,7,92,2,4.88,True,4,0.6808789940218511
884,Finance,Female,36,Analyst,2023-04-16 08:03:05.556036,1,Bachelor,4,5600.0,32,36,21,0,100,9,77,1,3.05,False,14,0.7549943310657596
886,Finance,Male,53,Developer,2015-02-22 08:03:05.556036,9,Bachelor,4,7000.0,46,26,25,3,50,1,29,2,3.92,True,11,0.6178511647083076
907,Engineering,Male,53,Analyst,2020-08-12 08:03:05.556036,4,High School,2,4800.0,45,44,26,4,100,14,56,2,4.37,False,10,0.6540802927231498
912,IT,Male,47,Consultant,2022-04-09 08:03:05.556036,2,Bachelor,4,7700.0,54,33,13,10,0,5,71,1,3.29,False,4,0.5997710781282211
918,Marketing,Female,28,Engineer,2016-10-11 08:03:05.556036,7,Bachelor,4,8400.0,41,7,1,2,75,3,89,2,4.3,False,12,0.6947979797979797
932,Sales,Female,54,Engineer,2016-11-02 08:03:05.556036,7,Bachelor,5,9000.0,54,13,5,3,0,11,72,2,3.17,False,11,0.6641586270871985
933,Engineering,Female,27,Engineer,2024-02-10 08:03:05.556036,0,Bachelor,5,9000.0,53,13,25,1,50,8,76,1,4.0,False,13,0.7423108637394351
936,Finance,Female,57,Developer,2014-09-14 08:03:05.556036,9,Bachelor,3,6500.0,60,38,1,2,25,7,49,2,4.78,False,12,0.714520511234797
938,Legal,Female,52,Technician,2023-03-24 08:03:05.556036,1,Bachelor,4,4900.0,56,19,13,2,100,14,68,1,3.3,False,12,0.6513533292104722
954,Sales,Male,31,Technician,2015-11-30 08:03:05.556036,8,Master,5,5250.0,57,28,8,6,0,11,23,2,4.71,False,8,0.660536075036075
955,Marketing,Female,60,Developer,2019-05-12 08:03:05.556036,5,Bachelor,5,7500.0,48,41,8,1,75,3,44,1,3.11,False,13,0.7474501133786847
958,Marketing,Male,60,Engineer,2021-04-29 08:03:05.556036,3,Bachelor,3,7800.0,35,17,1,1,50,1,76,2,4.42,False,13,0.67963739435168
961,Engineering,Male,34,Specialist,2016-11-12 08:03:05.556036,7,Bachelor,4,6300.0,36,44,9,3,75,7,2,2,3.43,True,11,0.612275097917955
966,Engineering,Male,59,Analyst,2023-06-24 08:03:05.556036,1,High School,5,6000.0,51,41,4,13,100,9,47,2,4.61,False,1,0.6570821480107195
975,Sales,Male,44,Manager,2018-12-28 08:03:05.556036,5,High School,4,8400.0,47,46,19,6,100,4,43,1,4.0,False,8,0.6889095031952175
977,Engineering,Female,25,Manager,2021-09-18 08:03:05.556036,2,High School,4,8400.0,38,32,8,5,75,3,53,1,4.93,False,9,0.7127543805400948
980,Engineering,Female,44,Consultant,2016-06-13 08:03:05.556036,8,Bachelor,5,8250.0,57,7,9,4,0,11,95,2,3.62,False,10,0.6943477633477635
982,HR,Male,51,Engineer,2018-06-28 08:03:05.556036,6,High School,3,7800.0,60,14,1,3,50,17,95,2,3.61,False,11,0.6367049062049062
985,Marketing,Other,53,Technician,2024-01-28 08:03:05.556036,0,Bachelor,5,5250.0,44,35,7,7,50,11,73,2,1.62,False,7,0.6213318903318903
988,Marketing,Male,29,Engineer,2020-06-04 08:03:05.556036,4,Bachelor,3,7800.0,41,38,21,6,75,5,68,2,2.95,False,8,0.6042614924757782
991,IT,Male,46,Manager,2022-01-11 08:03:05.556036,2,Bachelor,2,7200.0,38,48,12,0,50,9,57,2,2.58,False,14,0.640069882498454
998,Engineering,Male,23,Developer,2018-11-14 08:03:05.556036,5,Bachelor,4,7000.0,33,35,2,6,75,3,27,1,4.26,True,8,0.6246883116883116
1002,IT,Female,52,Analyst,2015-11-07 08:03:05.556036,8,Bachelor,4,5600.0,31,36,28,8,75,11,87,1,2.98,False,6,0.6574106369820656
1013,IT,Female,60,Technician,2021-08-26 08:03:05.556036,3,High School,2,4200.0,48,29,22,7,25,10,87,1,4.49,True,7,0.6186249226963513
1016,HR,Male,45,Technician,2017-05-24 08:03:05.556036,7,High School,5,5250.0,50,27,7,2,50,17,91,2,4.03,False,12,0.8169710368996084
1020,Operations,Female,45,Specialist,2017-10-31 08:03:05.556036,6,Bachelor,5,6750.0,40,44,16,14,100,16,90,2,2.74,False,0,0.6484100185528757
1030,Sales,Female,56,Developer,2016-03-18 08:03:05.556036,8,Master,4,7000.0,34,27,25,0,50,13,20,2,3.96,False,14,0.6486081220366934
1032,Customer Support,Female,53,Developer,2021-03-12 08:03:05.556036,3,High School,5,7500.0,36,49,2,8,75,12,59,1,2.78,False,6,0.6939062049062048
1033,HR,Male,43,Manager,2018-03-23 08:03:05.556036,6,Bachelor,4,8400.0,49,47,16,4,50,3,47,1,3.51,False,10,0.7051433725005153
1056,Marketing,Male,30,Engineer,2018-03-23 08:03:05.556036,6,Bachelor,4,8400.0,52,44,18,12,0,3,61,2,4.58,False,2,0.6603955885384456
1061,IT,Female,35,Manager,2018-08-20 08:03:05.556036,6,Bachelor,4,8400.0,53,32,10,1,50,18,73,1,2.62,False,13,0.6948012780869923
1070,Sales,Male,55,Manager,2020-09-29 08:03:05.556036,3,Bachelor,4,8400.0,40,15,16,1,50,19,90,1,4.29,False,13,0.7432569573283858
1075,Legal,Male,51,Technician,2020-01-04 08:03:05.556036,4,High School,2,4200.0,45,35,8,4,75,10,99,1,2.6,False,10,0.6157142857142857
1082,Finance,Male,59,Technician,2024-04-11 08:03:05.556036,0,High School,5,5250.0,60,42,14,4,100,3,20,1,4.62,False,10,0.7356897546897547
